bench,scheme,k,n,ic,p_boot,spread,win_top,win_bot
wind_all,A_等权,1,36,0.291,0.345,4.42,0.67,0.33
wind_all,A_等权,3,34,0.636,0.567,14.71,0.82,0.18
wind_all,A_等权,6,31,0.423,0.614,10.83,0.8,0.5
wind_all,B_IC加权,1,36,0.35,0.385,5.81,0.75,0.42
wind_all,B_IC加权,3,34,0.755,0.41,17.03,1.0,0.18
wind_all,B_IC加权,6,31,0.552,0.531,14.46,0.9,0.4
wind_all,C_手工,1,36,0.337,0.394,5.81,0.75,0.42
wind_all,C_手工,3,34,0.764,0.438,17.03,1.0,0.18
wind_all,C_手工,6,31,0.572,0.557,14.46,0.9,0.4
wind_all,C2_手工_剔弱项,1,36,0.335,0.412,5.89,0.75,0.42
wind_all,C2_手工_剔弱项,3,34,0.736,0.406,16.05,0.91,0.18
wind_all,C2_手工_剔弱项,6,31,0.543,0.525,13.27,0.8,0.4
hs300,A_等权,1,36,0.243,0.37,3.34,0.67,0.25
hs300,A_等权,3,34,0.61,0.484,10.42,0.91,0.36
hs300,A_等权,6,31,0.334,0.503,5.93,0.8,0.8
hs300,B_IC加权,1,36,0.308,0.406,3.95,0.67,0.33
hs300,B_IC加权,3,34,0.653,0.414,12.17,0.91,0.36
hs300,B_IC加权,6,31,0.401,0.484,7.81,0.8,0.7
hs300,C_手工,1,36,0.306,0.398,3.95,0.67,0.33
hs300,C_手工,3,34,0.675,0.42,12.17,0.91,0.36
hs300,C_手工,6,31,0.44,0.48,7.81,0.8,0.7
hs300,C2_手工_剔弱项,1,36,0.31,0.41,3.85,0.67,0.33
hs300,C2_手工_剔弱项,3,34,0.63,0.423,10.6,0.82,0.36
hs300,C2_手工_剔弱项,6,31,0.382,0.473,7.09,0.7,0.7
