bench,label,horizon,n,ic,t,spread,win_diff,hit,type
wind_all,pmi_expectation,3,30,-0.698,-5.15,-12.78,-0.6,0.233,indicator
sse,property_loans,6,24,0.688,4.45,14.14,0.5,0.792,indicator
hs300,property_loans,6,24,0.622,3.73,14.4,0.38,0.75,indicator
wind_all,property_loans,6,24,0.62,3.7,17.53,0.5,0.75,indicator
sse,property_sales_area,6,24,0.575,3.3,10.05,0.38,0.708,indicator
wind_all,cx_pmi,3,31,-0.561,-3.65,-9.96,-0.4,0.323,indicator
wind_all,property_sales_area,6,24,0.558,3.15,12.67,0.25,0.667,indicator
sse,pmi_expectation,3,30,-0.55,-3.49,-8.35,-0.3,0.333,indicator
hs300,pmi_expectation,3,30,-0.545,-3.44,-8.99,-0.6,0.267,indicator
hs300,world_trade_yoy_3mma,6,39,0.532,3.82,12.35,0.31,0.769,indicator
hs300,non_man_pmi,3,54,-0.53,-4.51,-10.26,-0.61,0.333,indicator
wind_all,world_trade_yoy_3mma,6,39,0.517,3.67,14.83,0.46,0.795,indicator
hs300,world_trade_yoy_3mma,3,42,0.517,3.82,7.94,0.36,0.643,indicator
wind_all,property_funds,6,24,0.513,2.8,12.11,0.25,0.708,indicator
hs300,exports,6,51,0.513,4.19,12.7,0.47,0.569,indicator
sse,property_funds,6,24,0.505,2.75,9.12,0.38,0.75,indicator
wind_all,world_trade_yoy_3mma,3,42,0.501,3.66,9.36,0.57,0.738,indicator
wind_all,exports,6,51,0.497,4.01,14.79,0.53,0.569,indicator
sse,cx_pmi,3,31,-0.494,-3.06,-6.22,-0.4,0.419,indicator
hs300,pmi_production,3,30,-0.491,-2.98,-7.13,-0.7,0.2,indicator
hs300,pmi_headline,3,30,-0.489,-2.97,-7.29,-0.7,0.2,indicator
sse,property_funds,3,27,0.485,2.77,8.07,0.56,0.704,indicator
wind_all,property_sales_area,3,27,0.478,2.72,9.74,0.67,0.815,indicator
sse,property_sales_area,3,27,0.478,2.72,7.53,0.56,0.741,indicator
wind_all,non_man_pmi,3,54,-0.477,-3.91,-11.29,-0.61,0.315,indicator
wind_all,cx_pmi,1,33,-0.473,-2.99,-6.35,-0.45,0.273,indicator
wind_all,copper_oil_ratio,6,51,0.467,3.69,12.13,0.47,0.647,indicator
wind_all,property_funds,3,27,0.467,2.64,10.75,0.67,0.778,indicator
sse,special_bond_issuance,3,23,0.467,2.42,7.88,0.57,0.826,indicator
sse,non_man_pmi,3,54,-0.466,-3.8,-7.9,-0.5,0.315,indicator
hs300,copper_oil_ratio,6,51,0.464,3.67,9.9,0.35,0.608,indicator
sse,caixin_services_pmi,3,31,-0.464,-2.82,-8.28,-0.4,0.387,indicator
hs300,property_sales_area,6,24,0.463,2.45,7.89,0.12,0.583,indicator
hs300,fai_equipment,6,24,0.456,2.4,7.84,0.12,0.625,indicator
sse,fai_equipment,6,24,0.456,2.41,6.41,0.0,0.583,indicator
