bench,label,horizon,n,ic,t,spread,win_diff,hit,type
wind_all,财政地产,6,31,0.617,4.22,13.95,0.3,0.71,module
sse,财政地产,6,31,0.563,3.67,10.3,0.3,0.677,module
sse,财政地产,3,34,0.533,3.56,7.65,0.45,0.765,module
hs300,全球外部,6,51,0.527,4.34,12.29,0.53,0.784,module
wind_all,财政地产,3,34,0.523,3.47,10.9,0.55,0.794,module
wind_all,全球外部,6,51,0.507,4.12,14.16,0.53,0.784,module
wind_all,国内增长与景气,3,34,-0.475,-3.06,-13.83,-0.55,0.324,module
hs300,财政地产,6,31,0.441,2.65,8.13,0.1,0.581,module
sse,国内增长与景气,3,34,-0.408,-2.53,-9.14,-0.55,0.353,module
sse,全球外部,6,51,0.406,3.11,8.43,0.35,0.706,module
hs300,财政地产,3,34,0.399,2.46,7.37,0.27,0.559,module
hs300,国内增长与景气,3,34,-0.395,-2.43,-8.96,-0.55,0.324,module
wind_all,Δ价格与工业利润,1,35,-0.385,-2.4,-6.89,-0.64,0.429,module
wind_all,国内增长与景气,1,36,-0.366,-2.29,-5.88,-0.5,0.389,module
sse,Δ价格与工业利润,1,35,-0.362,-2.23,-4.68,-0.45,0.4,module
hs300,全球外部,3,54,0.341,2.62,7.3,0.28,0.63,module
hs300,Δ价格与工业利润,1,35,-0.305,-1.84,-5.25,-0.45,0.457,module
wind_all,全球外部,3,54,0.301,2.28,7.13,0.39,0.685,module
sse,全球外部,3,54,0.263,1.97,4.63,0.17,0.648,module
sse,Δ财政地产,6,30,0.253,1.38,2.38,0.0,0.233,module
sse,国内增长与景气,1,36,-0.249,-1.5,-3.18,-0.25,0.472,module
sse,Δ价格与工业利润,6,30,-0.248,-1.35,-4.27,0.1,0.233,module
hs300,Δ财政地产,6,30,0.243,1.33,2.71,-0.1,0.267,module
hs300,Δ价格与工业利润,6,30,-0.239,-1.3,-5.46,-0.1,0.267,module
wind_all,Δ价格与工业利润,6,30,-0.228,-1.24,-6.12,-0.3,0.333,module
hs300,财政地产,1,36,0.228,1.37,3.34,0.08,0.5,module
sse,财政地产,1,36,0.21,1.25,2.83,0.17,0.556,module
wind_all,Δ财政地产,6,30,0.207,1.12,1.7,0.0,0.333,module
wind_all,全球外部,1,56,0.204,1.53,1.85,0.28,0.607,module
hs300,国内增长与景气,1,36,-0.203,-1.21,-3.3,-0.33,0.472,module
hs300,全球外部,1,56,0.199,1.49,1.54,0.33,0.625,module
wind_all,国内增长与景气,6,31,-0.169,-0.92,-7.25,-0.3,0.419,module
hs300,Δ全球外部,1,55,-0.164,-1.21,-0.7,-0.28,0.509,module
hs300,价格与工业利润,6,31,0.148,0.81,3.0,0.3,0.581,module
sse,全球外部,1,56,0.142,1.05,1.17,0.28,0.625,module
hs300,价格与工业利润,3,34,0.141,0.8,-0.01,0.18,0.529,module
sse,Δ财政地产,3,33,0.141,0.79,1.76,0.0,0.424,module
sse,Δ国内增长与景气,6,30,-0.139,-0.75,-2.91,-0.1,0.233,module
hs300,Δ全球外部,6,50,0.138,0.97,3.64,0.19,0.52,module
wind_all,Δ国内增长与景气,3,33,-0.134,-0.75,-1.86,-0.18,0.394,module
sse,Δ全球外部,1,55,-0.133,-0.98,-0.22,-0.11,0.473,module
hs300,Δ财政地产,3,33,0.124,0.7,2.88,0.09,0.455,module
